,Sales Package,Model Number,Model Name,Type,Portable,Bluetooth,Memory Card Slot,Configuration,Power Source,Frequency Response,Impedance,Color,Wired/Wireless,Wall Mountable Satellite,Built-in Fm Radio,Outdoor Usage,Headphone Jack,Driver Type,Compatible Devices,Connector Type,USB Ports,Amplifier,Other Audio Features,Chassis Material,Controls,Remote Control Support,Power Input,Other System Requirements,Satellite Weight,Width,Height,Depth,Warranty Service Type,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Power Output (RMS),Display Type,Signal to Noise Ratio,Sensitivity,Memory Card Supported,Charging Time,Battery,Battery Capacity,Bluetooth Range,Driver Size,Coverage Pattern,Cable Length,Subwoofer,Distortion,Technology Used,Other Features,Audio Codec,Maximum Output RMS Per Satellite,Maximum SPL,Tweeter Support,Maximum Output RMS Subwoofer,Maximum Output RMS Center Satellite,Separation,Subwoofer Width,Subwoofer Weight,Subwoofer Height,Subwoofer Depth,Tweeter Diameter,International Warranty,Satellite Width,Satellite Height,Satellite Depth,Center Satellite Width,Center Satellite Height,Center Satellite Depth,Center Satellite Weight
167,"Speaker, Charging Cable, Hanging String",M3 PORTABLE BLUETOOTH MINI SPEAKER Dynamic Metal Sound With High Bass,"Portable Bluetooth Speaker 16W, Upto 13hrs Playback,Dual EQ Mode,IPX7",Mobile/Tablet Speaker,,Yes,Yes,Stereo Channel,AC Adapter,20Hz to 20Khz,4,Multicolor,Wireless,No,,No,,,"Android, iOS",,,,,"No, Wooden & Plastic Chassis",,,,,,22.3 cm,9.4 cm,9.7 cm,"Philips Toll Free no : 1800-425-6396 , Customer Needs to Carry the Product to the Nearby Authorized Service Center to Get the Product Repaired or Inspected.",1 Year Manufacturing Warranty,Manufacturing Defects,Any Type of Damage,1 Year,5 W,,60 dB,,,,Use Time 6 hr,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"1 JBL Speaker Charger 5, Type C USB Cable, Safety Sheet, Quick Start Guide, Warranty Card",JBLCHARGE5BLU,Karaoke Mini Home Theatre { Free MIC } 15 W Bluetooth Speaker,Mobile/Tablet Speaker,,4.2,No,Stereo,"AC, DC",35 - 20000 Hz,4 ohms,Blue,Wireless,Yes,,Yes,,,"Mobiles, Laptop, PC, Tablet, TV",,,,,,,,,,,31.3 cm,6.2 cm,6.5 cm,"Philips Toll Free no : 1800-425-6396 , Customer Needs to Carry the Product to the Nearby Authorized Service Center to Get the Product Repaired or Inspected.",1 year warranty provided by the manufacturer from date of purchase,Manufacturing Defect,Physical Damage,1 Year,40 W,,60 dB,,,,,,10 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"1 Speaker, Charging Cable, Aux Cable, User Manual",Zeb-Vita Plus,"Flip 6 with 12Hr Playtime, Customize Audio by JBL App,IP67 Rating, Portable",Laptop/Desktop Speaker,,Yes,No,Stereo Channel,Battery,100Hz-20kHz,3 Ohms,Blue,Wireless,,,No,,,"Mobile, Computer, MP3/MP4 Player",,,,,,,,,,,8.63 cm,13.4 cm,4.6 cm,"1 Year Domestic Warranty. Carry on site. Please contact (I Kall ) Customer Support on Helpline (0120-4731048,0120-4731050) for (0120-4731051) ; 10AM to 06:00 PM , Email : (Helpdesk@ikall.in,Helpdeskcustomercare09@gmail.com)",1 Year Warranty,Manufacturing Defects,Physical Damages,1 Year,16 W,,75 dB,,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"1 Speaker, Type-C USB Cable, Quick Start Guide, Warranty Card, Safety Sheet",JBLCLIP4BLKO,AmphisoundX Atom with HDMI Arc,Mobile/Tablet Speaker,,5.0,Yes,2.1,"Power Adapter, AC",300,16,"Black, Orange",Wired & Wireless,,,Yes,,,Laptop||Tablet|| Mobile,,,,,,,,,,,47.5 cm,82.5 cm,41.5 cm,1 Year Warranty. For claims please send email to support@mivi.in or call 8099973333,NA,NA,NA,1 Year,5 W,,,,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2 Satellite Speaker,IN- SPA9080B/94 / SPA9080B/94,SPA9120B/94,Tower Speaker,,Yes,Yes,2.1 Channel,Battery,20 Hz - 20000 Hz,4,Black,Wireless,,,Yes,,,"Computer, Desktop, Mobile, Laptop",,,,,,,,,,,33.2 cm,30 cm,40 cm,7 Days Service Center Returns,6 Months Warranty,Manufacturing Defects Only,"External Accessories Not Covered in Warranty, Also It is Not Applicable to Normal Wear and Tear, Any Defect or Damage Caused by Misuse of the Product",6 Months,80 W,,,,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"1 Speaker Unit, Remote Control, FM Antenna, User Manual, 2 RCA to 2 RCA Cable",IN - SPA4040B/94,SPA8140B/94,Home Theatre,,4.2,No,Stereo,BATTERY,90 hz,4 ohms,Black,Wired,,,,,,"Laptop, Mobile, Tablet",,,,,,,,,,,3.5 cm,3.5 cm,2.9 cm,Carry-in,1 Year Warranty Provided by the Manufacturer from Date of Purchase,Manufacturing Defects,Physical Damages,0 Year,45 W,,,,,,,,15 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"7 Speakers, 1 subwoofer, 1 Aux, 1 Remote",IK-2222,Atom 504 Bluetooth 5.1 Channel Home Theatre,Tower Speaker,,Yes,No,Stereo Channel,USB Charging,120Hz- 15kHz,,Black,Wireless,,,,,,"TV, Mobile, Tablet, Laptop",,,,,,,,,,,8 cm,6.8 cm,7 cm,NA,2 Year iBall Warranty,Manufacturing Defects,"Used, Physically Damaged & Broken Original Packing",6 Months,5 W,,,,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1 speaker,BS5PL-TQ,,Mobile/Tablet Speaker,,5.1  withA2DP,No,2.1,Battery,300,,Light Blue,Wired,,,,,,"DESKTOP, LAPTOP, TABLET, MOBILE PHONES",,,,,,,,,,,45 cm,38 cm,100.5 cm,Contact the Authorized iBall Service Center For After Sales Services,1 Year Warranty from the Date of Purchase,Manufacturing Defects,Physical Damages,1 Year,510 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"1 Speaker, Wireless Subwoofer, Remote Control with Battery, Power Cables (Number and Types Varied by Region) and Warranty Card",jblbar51blkep,,Soundbar,,Yes,No,2.1 Channel,USB,40 - 20000 Hz,,Black,Wired & Wireless,,,,,,"MOBILE, TABLET, LAPTOP, ALL BLUETOOTH SUPPORTED DEVICES",,,,,,,,,,,3.8 cm,7.8 cm,11.8 cm,Reach Out to us at info@imaginemarketingindia.com/+91-2249461882/support.boat-lifestyle.com. Alternatively You Can Activate Your Warranty by Giving a Missed Call on 9223032222,1,Functional Defects,Physical Damage,2 Year,3 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"Speaker, USB Cable",ZEB Delight,,Mobile/Tablet Speaker,,5,No,2.0,AC Power,20hz - 20khz,,Grey,Wireless,,,,,,"MOBILE, LAPTOP, DESKTOP, TABLET ETC.",,,,,,,,,,,21.3 cm,7.4 cm,7.4 cm,"Philips Toll Free no : 1800-425-6396 , Customer Needs to Carry the Product to the Nearby Authorized Service Center to Get the Product Repaired or Inspected.",1 Year Manufacturer Warranty,Everything,Broken/ Damaged Product,1 Year,16 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"1 Speaker, User Manual, Type-C Charging Cable, User Manual",MDZ-36-DB,,Mobile/Tablet Speaker,,Yes,Yes,2.0 Channel,BATTERY,,,Blue,Wired,,,,,,"PC, Desktop, Phones, Iphones, Laptop, Gaming Console",,,,,,,,,,,12 cm,12 cm,12 cm,"Philips Toll Free no : 1800-425-6396 , Customer Needs to Carry the Product to the Nearby Authorized Service Center to Get the Product Repaired or Inspected.",,,,1 Year,15 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Speaker, MIC, USB CHARGING CABLE",WS-1300 Sound Box Mini home theatre wireless bass 15W Bluetooth Party Speaker,,Mobile/Tablet Speaker,,Yes,No,2.1,Main Supply,,,Black,Wired & Wireless,,,,,,,,,,,,,,,,,10.7 cm,18 cm,16.3 cm,1 Year Manufacturer Warranty,,,,1 Year,10 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,2 Speakers,TWIN 2010,,Laptop/Desktop Speaker,,"5.1  withA2DP 1.3, AVRCP 1.6",Yes,2.1 Channel,"AC, DC",,,Black,Wired,,,,,,,,,,,,,,,,,17.8 cm,6.8 cm,7.2 cm,,,,,1 Year,30 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"1 Speaker, Type-C USB Cable, Quick Start Guide, Warranty Card, Safety Sheet",JBLFLIP6RED,,Mobile/Tablet Speaker,,Yes,Yes,Stereo,AC 180V-260V/50Hz,,,Red,Wired,,,,,,,,,,,,,,,,,22.8 cm,8.5 cm,22.8 cm,,,,,,16 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1Pair of iBall Soundwave 2.0 Multimedia Speakers,Soundwave 2.0 Multimedia,,Laptop/Desktop Speaker,,Yes,Yes,Stereo Channel,AC,,,Black,,,,,,,,,,,,,,,,,,85 cm,8.9 cm,8.7 cm,,,,,,120 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"1 Speaker, Type-C Charging Cable, Audio Cable, User Manual, Warranty Card",Rugby Plus,,Mobile/Tablet Speaker,,"5.1  withA2DP 1.3, AVRCP 1.6",,Stereo,,,,Red,,,,,,,,,,,,,,,,,,7.1 cm,7.2 cm,6.8 cm,,,,,,5 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"Soundbar, Subwoofer, Power Cable, Aux Cable, User Manual, Remote Control, Wall Mounting Screws",MT120-SB21 V1,,Soundbar,,Yes,,Stereo Channel,,,,Black,,,,,,,,,,,,,,,,,,5 cm,10 cm,10 cm,,,,,,10 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1 X SPEAKER,ZEB-PLUTO,,Laptop/Desktop Speaker,,Yes,,Stereo,,,,Black,,,,,,,,,,,,,,,,,,46.5 cm,96.5 cm,65 cm,,,,,,120 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"BLUETOOTH SPEAKER, 1 CHARGING CABLE",™Mini Home Theatre Speaker Portable Wireless Bluetooth Speaker with Super Bass Sound |Calling Function | Noise Cancellation FM | AUX | USB & SD Card Supported Compatible with All Devices 10 W Bluetooth Home Theatre 5.1 Channel)Best Bass Super 10 W Bluetooth SpeakerATS-TG-113-Green- Boom Box Speaker 10 W Bluetooth Speaker |Rock Best Sound | lock Premium | camping And kitty Party Speaker | Room Parity Speaker,,Mobile/Tablet Speaker,,"5.1  withA2DP V1.3, AVRCP V1.6",,Stereo Channel,,,,Green,,,,,,,,,,,,,,,,,,23.7 cm,54.7 cm,35.7 cm,,,,,,38 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1 Speaker,SPA9120B/94 / IN-SPA9120B/94,,Tower Speaker,,Yes,,Stereo,,,,Black,,,,,,,,,,,,,,,,,,21 cm,27 cm,32 cm,,,,,,70 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"Subwoofer, Satellites, Remote, Input cable, User manual.",IN-SPA8140B/94/SPA8140B/94,,Home Theatre,,Yes,,Stereo Channel,,,,Black,,,,,,,,,,,,,,,,,,15 cm,20 cm,26 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"4 Satellite Speakers and 1 Woofer,Remote and Aux cable",IK411 - 4.1 CHANNEL - BT 70 W Bluetooth Home Theatre,,Home Theatre,,Yes,,Mono,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"One Main Unit (Home Theater), 5 Speakers, 1 Aux Cable, 1 Remote Control, 2 AAA Batteries, Antenna wire",Atom 504,,Home Theatre,,withYes,,Mono Channel,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,Yes,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,5,,2.0 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,Yes,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,Yes,,5.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,Yes,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,5,,7.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,Yes,,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,5.0,,Mono Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,No,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,Yes,,5.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,"5.1  withA2DP 1.3, AVRCP 1.6",,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,No,,Mono Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,Yes,,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,5,,Mono Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,Yes,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,5,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,No,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,Yes,,2.0 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,5.0,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,Yes,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,Yes,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,Yes,,2.0 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,Yes,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,V5  withYes,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,2.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,2.0 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,2.0 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,4.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,4.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,5.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"1N Soundbar,1N Woofer,1N Aux Cable,1N Remote Control",SBW550 5.1 Surround Soundbar with Rear Satellites and 20.3cm Subwoofer,ZEB-JUKE BAR 9800 DWS Pro Dolby Atmos With Wireless Subwoofer,Home Theatre,No,Yes,No,5.1,AC Adapter,45 - 20000 Hz,"Subwoofer - 3 ohm, Soundbar - 3 ohm x 4 and 8 ohm x 2",Black,Wireless,No,Yes,No,No,IOS,Television,Speaker Wire,1 USB Ports,Built-in,"WIRELESS - Portable bluetooth Speaker: Enjoy a high definition stereo sound with an impressive volume whether you're lounging around the house, or partying, walking out, camping, hiking, biking., SOUND QUALITY - Superior Sound Quality: Enjoy your music in 10W full-bodied stereo realized through dual high-performance drivers and unique enhanced bass","No, Wood (Subwoofer), Plastic (Satellite) Chassis","Volume, Play, Pause",Wireless,AC 220 - 240 V,USB,0.2 kg,97.5 cm,51 cm,26 cm,"Carry-in Warranty, Customer Needs Call on our Service Centre at Our Customer Care No. - 9360942527 for Any Query",1 Year Warranty,Any Manufacturing Defects,Any Physical Damages and Accessories are Not Covered in Warranty,1 Year,300 W,LED,70 dB,42 dB,YES,1.5 hr,"RECHARGEABLE, Use Time 5 hr",1200 mAh,15 m,5.25 inch (Subwoofer) and 3 inch (Satellite),180 degree vertical,1.5 m,1,0.10%,WIRELESS,"Media Controls, LED Display, Multi Connectivity, Fully Functional Remote",apt-X,15 W,40 dB,No,16 W,16 W,Greater than 45 dB,190 mm,4.2 kg,370 mm,306 mm,20 mm,,111 mm,176 mm,102 mm,6 mm,6 mm,8 mm,0.2 kg
229,"Sound bar, Subwoofer, Remote, Input cable, Wall mount fasteners 1 pair, User manual",ZEB-JUKE BAR 9800 DWS Pro Dolby Atmos,GOSURROUND 900 | 200W Bluetooth Soundbar| 2.1 Channel with 6.5'' Wired Subwoofer,Soundbar,No,Yes,No,5.1 Channel,AC Adapter,35 - 140000 Hz,4,Black,Wired & Wireless,Yes,Yes,Yes,Yes,2 Speaker,"Perfect for MP3, PC, TV, Mobile, Tablet",Micro USB,1 USB Ports,YES,Built In Light,"Yes, HARD PLASTIC, CLOTH Chassis",PREV/NEXT - PLAY/PAUSE - VOL - RECORDING,Wireless,5 W,Please charge full of electronics when you use it at first time.,0.3 kg,96 cm,8.1 cm,10.9 cm,Carry-in,1 Year Manufacturing Warranty from the Date of Purchase,Manufacturing and Technical Defects,Physical and Accidental Damages,1 Year,450 W,NA,90 dB,90 dB,TFT,4 hr,"Rechargeable, Use Time 5 hr",2400 mAh,10 m,32,180 Degree Vertical,0.1 m,1,2,Bold JBL Pro Sound,"Built-in Microphone, enjoying hand-free call, With advanced noise cancellation, enables clear hand-free calling and conference. Great for indoor and outdoor sound",Apt-x,2.5 W,90 dB,"Yes, 1",10 W,40 W,Greater than 60 dB,73 mm,0.2 kg,276 mm,286 mm,10 mm,,6 mm,6 mm,8 mm,10 mm,8 mm,6 mm,0.3 kg
230,"1 Subwoofer, Power Cable, User Manual, Warranty Card, Remote Control, 2 Batteries, 2 Satellites, 2 Signal Cable",F190X,100% GOOD QUALITY|3D sound| Splashproof| Water resistant| ALLMUSIC ALM-113 Ultra Deep Baas Stereo sound quality Speaker | mini Home theatre|wireless Speaker| Long hour battery Life,Laptop/Desktop Speaker,Yes,5,No,2.1,AC Adapter,302,15,Black,Wired & Wireless,No,Yes,Yes,No,"1 Woofer, 1 Tweeter",Android and IOS,Bluetooth,1 USB Ports,"Built-in, Yes","Wireless Bluetooth Streaming, IP67 Waterproof, Dual Passive Bass Radiator, Bold JBL Pro Sound, Built-In Power Bank","Yes, ABS Plastic Chassis","Play/Pause, Forward/Back, Volume Up/Down, Track Change, Mode",Wireless,220-240V,"Before first use charge atlest for long Battery, Portable mobile Bluetooth speaker with good battery backup, Bluetooth /Wireless/ Aux/ Pan drive / Tf Card, car Aux / TV, so/ny",0.4 kg,33.5 cm,33.1 cm,31.9 cm,NO WARRANTY,NO WARRANTY,NO WARRANTY,NO WARRANTY,0 Year,46 W,NA,63 dB,110 dB,Yes,1 hr,Rechargeable battery,7500 mAh,10 m,2,70 degree,0.2 m,1,2,Bluetooth,Built-in Powerbank with 7500mAh Battery,WS 887,10 W,90 dB,No,80 W,680 W,60DB,6 mm,4.1 kg,6 mm,8 mm,10 mm,,10 mm,8 mm,6 mm,12 mm,10 mm,8 mm,0.4 kg
231,"Soundbar, Subwoofer, Warranty Card, User Manual, Audio Cable, AUX Cable, Remote",GOSURROUND 900,PEBBLE_MF1680,Soundbar,,Yes,Yes,2.1 Channel,BATTERY,100Hz-20kHz,4,Black,Wired & Wireless,Yes,Yes,Yes,No,2 Satellite,"MOBILE, TABLET, LAPTOP",AUX CABLE,1 USB Ports,YES,Blue-tooth range: 10 Meters,Aluminum Alloy Chassis,"Volume control, Media control",Wireless,"5 V, 3 A","Before first use charge atlest 20 mints for long Battery, All Smartphone, Tablet, Laptop, All Bluetooth Enable Phones",,90 cm,8 cm,9 cm,7 Days Service Center Returns,1 Year Warranty Provided by the Manufacturer From Date of Purchase,Yes,No,1 Year,200 W,LED,80 dB,110 dB,No,4 hrs,"Lithium-ion Polymer, Use Time 20 hrs",500 mAh,10 m,45,80 degree,1 m,2,1,"Bluetooth, Wireless, Aux",Mini Speaker. Very Handy. With Eye catching Design And colors.,,10 W,110 dB,"TG 162 SPEAKER, 2, 5 Tweeters",10 W,10 W,40,190 mm,0.3 kg,367 mm,306 mm,,,12 mm,10 mm,8 mm,,,,
232,"1 BLUETOOTH SPEAKER, 1 CHARGING CABLE",Wireless Recghargeable Powerpact DJ sound Portable Multimedia Speaker,"Charge 5 with 20Hr Playtime,IP67 Rating,7500 mAh Powerbank, Portable",Mobile/Tablet Speaker,,5  withA2DP,Yes,Stereo,"Rechargeable, Battery",100 - 17000 Hz,3,Red,Wired & Wireless,Yes,Yes,Yes,Yes,IOS,"Laptop, Mobile, Desktop","Bluetooth ,wireless , Connector",1 USB Ports,yes,"Soft, clear and dynamic sound all levels clear, Support line in audio input,provide you with computer speakers can be connected to Mobile-phone tablet computer and TV wireless pairing playing music., Sound and play/pause buttons for convenience","No, YES Chassis","Play, Pause, Volume, Bluetooth Pairing, Power",YES,AC 120 - 240 V,Please charge full of electronics when you use it at first time.,,8 cm,14 cm,8 cm,1 Year Carrying into Service Center,1 Year Carrying into Service Center,Manufacturing Defects,Physical Damage,1 Year,13 W,No,80 dB,81 dB,Micro SD,5 hrs,Use Time 20 hrs,1200 mAh,10 m,"52 mm x 90 mm Woofer, 20 mm Tweeter",HARD ABS PLASTIC,2.5 m,1,TG-162 mini home theatre Powerpact Stereo Audio deep bass Portable Rechargeable Mini Dynamite,BLUETOOTH,"Built-in Microphone, enjoying hand-free call, With advanced noise cancellation, enables clear hand-free calling and conference. Great for indoor and outdoor sound Featuring dual external laud Music , this 5 W Flip speaker offers you the signature sound to take you to aural heaven. You can pair this 10 -watt speaker seamlessly with your smartphone, tablet or laptop using Bluetooth (4.2) and enjoy music the way it’s meant to be - loud and clear.",,10 W,110 dB,"TG143 black speaker, 4, 10 Tweeters",10 W,10 W,40,10 mm,0.4 kg,8 mm,6 mm,,,,,,,,,
233,"1 N Speaker, 1 N Charging Cable, 1 N Aux Cable",M415SP (PORTABLE BLUETOOTH SPEAKER) Dynamic Thunder Sound With High Bass,Zeb-Music bomb X mini,Mobile/Tablet Speaker,,Yes,Yes,Stereo Channel,USB,60 - 20000 Hz,4,Grey,Wireless,Yes,Yes,Yes,No,"dynamic, multimedia","Computer, Mobile",BLUETOOTH & AUX,1 USB Ports,NO,"Built-in Microphone , enjoying hand -free call,with Advanced noise, cancellation ,Enables hand- free calling & conference. Great for Indore & Outdoor Sound, Ultra 3d sound blast With rich premium Super deep Bass Splashproof/Waterproof NEW ARRIVAL Wireless Bluetooth Speaker with TF CARD/FM/USB DRIVE & AUX SUPPORTED IDEAL FOR CAR/LAPTOP/HOME AUDIO/GAMING SPEAKER/indoor/outdoor mini sub-woofer, support to connected with the all Bluetooth equipment., Voice calling-number, Automatically re-connect, automatically into pairing mode when failed, Low power prompt, Volume synchronization, the default volume is 50% of the maximum,, mpt, Redial function, Volume synchronization, the default volume is 50% of the maximum, Power synchronization, Reading TF card and U disk, Support line in audio input, With FM radio",Wooden Chassis,Power,wireless,5,Before first use charge atlest for long Battery,,21 cm,8 cm,8 cm,Carry-in,1 Year Warranty on Product,Manufacturing Defect,Any Physical Damage,1 Year,10 W,NO,90 dB,42 dB,YES,2.5 hr,Use Time 4 hr,2200 mAh,10 m,52,HARD ABS PLASTIC,1 m,2,"TG 143 Portable Wireless Bluetooth Dual Bass HD Sound Led Speaker with Aux,",BLUETOOTH,"ULTRA SOUND Speaker has a Cool appearance, Football shape design, fashionable and sporty,Support USB, Support TF card, FM Radio function, Bluetooth functionality built-in microphone can answer the phone,stereo input out put., Enjoy True, Full Room Sound From Our Resonance Technology And Tri-Band Sound Frequency. The Speaker Captures The High Highs And The Deepest Lows, Giving You Rich, Full Surround Sound, The Ultimate, High-Powered Portable Bluetooth Speaker With Powerful Stereo Sound And A Power Bank All In One Package. A Built-In Noise And Echo-Cancelling Speakerphone Gives",,10 W,,,10 W,5 W,,12 mm,,10 mm,8 mm,,,,,,,,,
